event_id;wedstrijd;ronde;speler;team;positie;shots;onTarget;headers;headersOnTarget;outsideBox;outsideBoxOnTarget;tackles;foulsCommitted;foulsDrawn;minuten;gestart;goals;xg;geel;rood
mt_258322938;Switzerland - Colombia;Round of 16;Denis Zakaria;Switzerland;D;0;0;0;0;0;0;1;1;0;87;1;0;0;1;0
mt_258322938;Switzerland - Colombia;Round of 16;Granit Xhaka;Switzerland;M;1;0;0;0;2;1;0;1;3;120;1;0;0.04;1;0
mt_258322938;Switzerland - Colombia;Round of 16;Ardon Jashari;Switzerland;M;0;0;0;0;0;0;1;2;0;45;1;0;0;0;0
mt_258322938;Switzerland - Colombia;Round of 16;Gregor Kobel;Switzerland;G;0;0;0;0;0;0;0;0;2;120;1;0;0;0;0
mt_258322938;Switzerland - Colombia;Round of 16;Ricardo Rodríguez;Switzerland;D;0;0;0;0;0;0;1;0;0;71;1;0;0;0;0
mt_258322938;Switzerland - Colombia;Round of 16;Manuel Akanji;Switzerland;D;0;0;0;0;1;0;1;2;1;120;1;0;0;0;0
mt_258322938;Switzerland - Colombia;Round of 16;Remo Freuler;Switzerland;M;0;0;0;0;0;0;1;1;0;120;1;0;0;0;0
mt_258322938;Switzerland - Colombia;Round of 16;Breel Embolo;Switzerland;F;0;0;0;0;0;0;0;1;0;87;1;0;0;0;0
mt_258322938;Switzerland - Colombia;Round of 16;Dan Ndoye;Switzerland;F;2;1;0;0;2;1;2;2;5;89;1;0;0.05;0;0
mt_258322938;Switzerland - Colombia;Round of 16;Nico Elvedi;Switzerland;D;0;0;0;0;0;0;0;2;3;120;1;0;0;0;0
mt_258322938;Switzerland - Colombia;Round of 16;Fabian Rieder;Switzerland;F;3;1;0;0;3;1;1;1;2;103;1;0;0.1;0;0
mt_258322938;Switzerland - Colombia;Round of 16;Silvan Widmer;Switzerland;D;0;0;0;0;0;0;2;1;0;33;0;0;0;0;0
mt_258322938;Switzerland - Colombia;Round of 16;Miro Muheim;Switzerland;D;0;0;0;0;0;0;1;1;1;49;0;0;0;1;0
mt_258322938;Switzerland - Colombia;Round of 16;Djibril Sow;Switzerland;M;1;0;0;0;1;0;0;0;1;75;0;0;0.18;0;0
mt_258322938;Switzerland - Colombia;Round of 16;Rubén Vargas;Switzerland;M;0;0;0;0;1;1;1;1;2;31;0;0;0;0;0
mt_258322938;Switzerland - Colombia;Round of 16;Zeki Amdouni;Switzerland;F;0;0;0;0;1;1;0;3;0;17;0;0;0;0;0
mt_258322938;Switzerland - Colombia;Round of 16;Cédric Itten;Switzerland;F;0;0;0;0;1;1;0;3;1;33;0;0;0;0;0
mt_583655765;Argentina - Egypt;Round of 16;Julián Alvarez;Argentina;F;2;1;0;0;2;1;1;3;2;89;1;0;0.29;0;0
mt_583655765;Argentina - Egypt;Round of 16;Nahuel Molina;Argentina;D;0;0;0;0;0;0;3;0;0;73;1;0;0;0;0
mt_583655765;Argentina - Egypt;Round of 16;Lionel Messi;Argentina;F;5;2;0;0;5;2;1;0;2;90;1;1;0.96;0;0
mt_583655765;Argentina - Egypt;Round of 16;Alexis Mac Allister;Argentina;M;2;1;2;1;2;1;3;0;1;90;1;0;0.39;0;0
mt_583655765;Argentina - Egypt;Round of 16;Leandro Paredes;Argentina;M;2;0;0;0;2;0;3;0;1;90;1;0;0.03;0;0
mt_583655765;Argentina - Egypt;Round of 16;Lisandro Martínez;Argentina;D;1;0;0;0;1;0;4;2;2;90;1;0;0.02;0;0
mt_583655765;Argentina - Egypt;Round of 16;Nicolás Tagliafico;Argentina;D;0;0;0;0;0;0;0;2;1;66;1;0;0;0;0
mt_583655765;Argentina - Egypt;Round of 16;Cristian Romero;Argentina;D;1;1;1;1;1;1;3;1;0;89;1;1;0.33;0;0
mt_583655765;Argentina - Egypt;Round of 16;Rodrigo De Paul;Argentina;M;1;1;0;0;1;1;1;1;0;66;1;0;0.04;0;0
mt_583655765;Argentina - Egypt;Round of 16;Emiliano Martínez;Argentina;G;0;0;0;0;0;0;0;0;0;90;1;0;0;0;0
mt_583655765;Argentina - Egypt;Round of 16;Enzo Fernández;Argentina;M;2;1;1;1;2;1;1;2;0;90;1;1;0.24;0;0
mt_583655765;Argentina - Egypt;Round of 16;Nicolás Otamendi;Argentina;D;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
mt_583655765;Argentina - Egypt;Round of 16;Gonzalo Montiel;Argentina;D;0;0;0;0;0;0;0;0;0;17;0;0;0;0;0
mt_583655765;Argentina - Egypt;Round of 16;Facundo Medina;Argentina;D;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
mt_583655765;Argentina - Egypt;Round of 16;Lautaro Martínez;Argentina;F;3;0;1;0;3;0;0;0;2;24;0;0;0.42;0;0
mt_583655765;Argentina - Egypt;Round of 16;Nicolás González;Argentina;F;0;0;0;0;0;0;0;2;0;24;0;0;0;0;0
mt_974099669;USA - Belgium;Round of 16;Leandro Trossard;Belgium;F;4;0;0;0;4;0;1;0;0;89;1;0;0.16;0;0
mt_974099669;USA - Belgium;Round of 16;Thibaut Courtois;Belgium;G;0;0;0;0;0;0;0;0;0;90;1;0;0;0;0
mt_974099669;USA - Belgium;Round of 16;Dodi Lukebakio;Belgium;F;2;0;1;0;2;0;1;1;1;67;1;0;0.15;0;0
mt_974099669;USA - Belgium;Round of 16;Youri Tielemans;Belgium;M;2;0;0;0;2;0;3;1;1;90;1;0;0.33;0;0
mt_974099669;USA - Belgium;Round of 16;Timothy Castagne;Belgium;D;1;1;0;0;1;1;2;2;1;90;1;0;0.03;0;0
mt_974099669;USA - Belgium;Round of 16;Maxim De Cuyper;Belgium;D;0;0;0;0;0;0;3;0;1;90;1;0;0;0;0
mt_974099669;USA - Belgium;Round of 16;Amadou Onana;Belgium;M;0;0;0;0;0;0;2;0;0;21;1;0;0;0;0
mt_974099669;USA - Belgium;Round of 16;Brandon Mechele;Belgium;D;0;0;0;0;0;0;2;1;0;90;1;0;0;0;0
mt_974099669;USA - Belgium;Round of 16;Nathan Ngoy;Belgium;D;0;0;0;0;0;0;1;1;0;90;1;0;0;0;0
mt_974099669;USA - Belgium;Round of 16;Charles De Ketelaere;Belgium;F;3;3;2;2;3;3;1;0;1;67;1;2;1.15;0;0
mt_974099669;USA - Belgium;Round of 16;Nicolas Raskin;Belgium;M;1;1;0;0;1;1;4;3;1;89;1;0;0.08;0;0
mt_974099669;USA - Belgium;Round of 16;Axel Witsel;Belgium;M;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
mt_974099669;USA - Belgium;Round of 16;Hans Vanaken;Belgium;M;1;1;0;0;1;1;2;0;2;69;0;1;0.08;0;0
mt_974099669;USA - Belgium;Round of 16;Alexis Saelemaekers;Belgium;F;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
mt_974099669;USA - Belgium;Round of 16;Jérémy Doku;Belgium;F;0;0;0;0;0;0;0;0;3;23;0;0;0;0;0
mt_974099669;USA - Belgium;Round of 16;Romelu Lukaku;Belgium;F;1;1;0;0;1;1;0;0;0;23;0;1;0.04;0;0
mt_197411346;Portugal - Spain;Round of 16;Pau Cubarsí;Spain;D;0;0;0;0;0;0;0;1;0;90;1;0;0;0;0
mt_197411346;Portugal - Spain;Round of 16;Pedri;Spain;M;1;0;0;0;1;0;1;1;0;85;1;0;0.06;0;0
mt_197411346;Portugal - Spain;Round of 16;Alex Baena;Spain;F;3;2;0;0;3;2;3;1;1;75;1;0;0.16;0;0
mt_197411346;Portugal - Spain;Round of 16;Mikel Oyarzabal;Spain;F;2;1;0;0;2;1;0;0;0;89;1;0;0.63;0;0
mt_197411346;Portugal - Spain;Round of 16;Dani Olmo;Spain;M;2;0;1;0;2;0;1;1;1;85;1;0;0.09;0;0
mt_197411346;Portugal - Spain;Round of 16;Pedro Porro;Spain;D;1;0;0;0;1;0;4;1;2;90;1;0;0.01;0;0
mt_197411346;Portugal - Spain;Round of 16;Rodri;Spain;M;1;0;0;0;1;0;4;1;0;90;1;0;0.02;0;0
mt_197411346;Portugal - Spain;Round of 16;Unai Simón;Spain;G;0;0;0;0;0;0;0;0;0;90;1;0;0;0;0
mt_197411346;Portugal - Spain;Round of 16;Aymeric Laporte;Spain;D;0;0;0;0;0;0;0;1;0;90;1;0;0;0;0
mt_197411346;Portugal - Spain;Round of 16;Marc Cucurella;Spain;D;0;0;0;0;0;0;0;0;0;90;1;0;0;0;0
mt_197411346;Portugal - Spain;Round of 16;Lamine Yamal;Spain;F;3;2;0;0;3;2;5;5;2;90;1;0;0.11;0;0
mt_197411346;Portugal - Spain;Round of 16;Mikel Merino;Spain;M;1;1;0;0;1;1;0;0;2;14;0;1;0.53;0;0
mt_197411346;Portugal - Spain;Round of 16;Fabián Ruiz;Spain;M;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0
mt_197411346;Portugal - Spain;Round of 16;Borja Iglesias;Spain;F;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
mt_197411346;Portugal - Spain;Round of 16;Ferran Torres;Spain;F;1;0;0;0;1;0;0;1;0;15;0;0;0.01;1;0
mt_362533068;Mexico - England;Round of 16;John Stones;England;D;0;0;0;0;0;0;0;0;0;33;1;0;0;0;0
